ntaname,street_light_count,area_km2,lights_per_km2,demo_lat,demo_lng,matched_to,match_score,match_type
Jackson Heights,1256,39.316344358934266,31.94600160517177,40.75731157212677,-73.88532113068389,Jackson Heights,1.0,exact
St. Albans,1253,74.27682999135466,16.86932520068292,40.69120120369265,-73.76314603925711,St. Albans,1.0,exact
Far Rockaway-Bayswater,1253,60.4748853136477,20.71934479084045,40.60244612993298,-73.75531156568272,Far Rockaway-Bayswater,1.0,exact
Middle Village,1246,34.9433103737944,35.65775499434172,40.718337922973774,-73.88005335042449,Middle Village,1.0,exact
Park Slope,1240,25.831650564815245,48.003126896156544,40.67122805634757,-73.9839036056946,Park Slope-Gowanus,0.7142857142857143,fuzzy
Howard Beach-Lindenwood,1216,52.60488121280773,23.115725612625088,40.75573353978241,-73.98350369427419,Midtown-Midtown South,0.5365853658536586,random_fallback
Bushwick (East),1202,27.933972288648206,43.030041971097255,40.69645843083918,-73.92511224089102,Bushwick South,0.7586206896551724,fuzzy
Tribeca-Civic Center,1194,13.578254263831663,87.93472097370075,40.72076597664417,-74.00474760847034,SoHo-TriBeCa-Civic Center-Little Italy,0.6896551724137931,fuzzy
Sunnyside,1181,47.7017603203879,24.757996184372185,40.73831653484746,-73.8921732178861,Elmhurst-Maspeth,0.47058823529411764,random_fallback
East New York (North),1161,27.9069854163544,41.60248707191485,40.6609452253228,-73.87683885477028,East New York,0.7647058823529411,fuzzy
Chinatown-Two Bridges,1149,11.54151653985393,99.55364150217142,40.71560692264425,-73.99462992141895,Chinatown,0.6,fuzzy
Canarsie,1142,70.53350399452196,16.190887100812322,40.63804208840069,-73.89975063058162,Canarsie,1.0,exact
Lower East Side,1122,16.472925540195696,68.11176298115355,40.71784075827647,-73.98091101368149,Lower East Side,1.0,exact
University Heights (South)-Morris Heights,1119,19.64254889312909,56.968166712387465,40.85252185493298,-73.91597458920813,University Heights-Morris Heights,0.8918918918918919,fuzzy
Brownsville,1115,30.785980676992548,36.21778405237807,40.6640017673255,-73.91025480251241,Brownsville,1.0,exact
Jamaica,1115,46.82885088104274,23.810108064201387,40.70436902856429,-73.79398114018684,Jamaica,1.0,exact
West Village,1096,14.416863901366474,76.02208132769553,40.73304503430226,-74.00154637509021,West Village,1.0,exact
Glendale,1081,30.00647477382837,36.02555808864452,40.70353544504304,-73.87574952517902,Glendale,1.0,exact
Harlem (South),1075,14.426378720015098,74.51627472586377,40.79001121108353,-73.94575082038801,East Harlem South,0.7741935483870968,fuzzy
Marine Park-Mill Basin-Bergen Beach,1074,58.87142644938872,18.24314552533068,40.61458021129835,-73.91524608365415,Georgetown-Marine Park-Bergen Beach-Mill Basin,0.5925925925925926,fuzzy
Washington Heights (South),1047,21.02768070544939,49.791511230654486,40.84170618152056,-73.94139992937578,Washington Heights South,0.96,fuzzy
Midtown-Times Square,1036,24.5525417580103,42.19522403060383,40.77484651389744,-73.98469934498604,Lincoln Square,0.5882352941176471,fuzzy
Kingsbridge-Marble Hill,1033,12.312577184187788,83.89795122069263,40.8652655491918,-73.90591118084832,Kingsbridge Heights,0.6666666666666666,fuzzy
SoHo-Little Italy-Hudson Square,1030,12.91676145109336,79.74135032994775,40.72833276866509,-73.80244456956682,Pomonok-Flushing Heights-Hillcrest,0.4927536231884058,random_fallback
Baisley Park,1025,47.948738839097246,21.376996034027453,40.67895311790504,-73.79098785454724,Baisley Park,1.0,exact
Bedford Park,1021,24.55369080338644,41.58234328906609,40.69150702435704,-73.9499047902708,Bedford,0.7368421052631579,fuzzy
